concept_id,year,sex,age_group,patient_count,record_count,denominator,prevalence
140673,2012,F,0-9,32,126,23814,0.00134374737549341
140673,2012,F,10-19,173,673,21862,0.00791327417436648
140673,2012,F,20-29,466,1783,33450,0.0139312406576981
140673,2012,F,30-39,801,3560,30195,0.0265275707898659
140673,2012,F,40-49,1103,4919,29375,0.0375489361702128
140673,2012,F,50-59,1920,9145,30965,0.0620054900694332
140673,2012,F,60-69,2174,10410,25994,0.0836346849272909
140673,2012,F,70-79,1888,8978,23108,0.0817033062142981
140673,2012,F,80+,907,3874,15579,0.0582193979074395
140673,2012,M,0-9,21,52,25045,8.3849071670992e-4
140673,2012,M,10-19,71,281,23048,0.00308052759458521
140673,2012,M,20-29,84,249,36348,0.00231099372730274
140673,2012,M,30-39,81,414,32303,0.00250750704268953
140673,2012,M,40-49,111,552,28946,0.00383472673253645
140673,2012,M,50-59,183,925,26833,0.00681996049640368
140673,2012,M,60-69,224,1066,18919,0.0118399492573603
140673,2012,M,70-79,194,861,12690,0.0152876280535855
140673,2012,M,80+,78,302,5352,0.0145739910313901
140673,2013,F,0-9,38,180,24017,0.00158221259940875
140673,2013,F,10-19,186,778,21466,0.0086648653684897
140673,2013,F,20-29,481,2067,32615,0.0147478154223517
140673,2013,F,30-39,875,4390,30571,0.0286218965686435
140673,2013,F,40-49,1141,5431,29337,0.0388928656645192
140673,2013,F,50-59,1990,10097,30890,0.0644221430883781
140673,2013,F,60-69,2360,12579,26799,0.0880629874249039
140673,2013,F,70-79,2060,10715,22735,0.0906091928744227
140673,2013,F,80+,1029,5138,15972,0.0644252441773103
140673,2013,M,0-9,20,53,25329,7.8960874886493e-4
140673,2013,M,10-19,92,343,22316,0.00412260261695644
140673,2013,M,20-29,85,333,35512,0.00239355710745663
140673,2013,M,30-39,97,509,32755,0.00296137994199359
140673,2013,M,40-49,123,693,29136,0.00422158154859967
140673,2013,M,50-59,208,1011,27004,0.00770256258332099
140673,2013,M,60-69,259,1371,19542,0.013253505270699
140673,2013,M,70-79,222,1086,12541,0.017701937644526
140673,2013,M,80+,98,410,5499,0.0178214220767412
