concept_id,year,sex,age_group,patient_count,record_count,denominator,prevalence
4019824,2012,F,0-9,7,9,23814,2.9394473838918e-4
4019824,2012,F,20-29,15,17,33450,4.4843049327354e-4
4019824,2012,F,30-39,7,7,30195,2.3182646133465e-4
4019824,2012,F,40-49,20,21,29375,6.8085106382978e-4
4019824,2012,F,50-59,27,33,30965,8.719522041014e-4
4019824,2012,F,60-69,69,80,25994,0.00265445872124336
4019824,2012,F,70-79,94,106,23108,0.00406785528821187
4019824,2012,F,80+,34,41,15579,0.0021824250593748
4019824,2012,M,20-29,5,5,36348,1.3755915043468e-4
4019824,2012,M,30-39,9,11,32303,2.7861189363217e-4
4019824,2012,M,40-49,21,27,28946,7.2548884129067e-4
4019824,2012,M,50-59,73,80,26833,0.00272053068982223
4019824,2012,M,60-69,100,118,18919,0.00528569163275015
4019824,2012,M,70-79,82,92,12690,0.00646178092986604
4019824,2012,M,80+,24,26,5352,0.00448430493273543
4019824,2013,F,10-19,5,6,21466,2.3292648840026e-4
4019824,2013,F,20-29,6,7,32615,1.8396443354284e-4
4019824,2013,F,30-39,13,14,30571,4.252396061627e-4
4019824,2013,F,40-49,13,15,29337,4.4312642737839e-4
4019824,2013,F,50-59,27,32,30890,8.7406927808352e-4
4019824,2013,F,60-69,62,69,26799,0.00231351916116273
4019824,2013,F,70-79,94,103,22735,0.00413459423795909
4019824,2013,F,80+,45,45,15972,0.00281743050338092
4019824,2013,M,20-29,5,10,35512,1.4079747690921e-4
4019824,2013,M,30-39,17,19,32755,5.1900473210196e-4
4019824,2013,M,40-49,26,31,29136,8.9236683141131e-4
4019824,2013,M,50-59,77,87,27004,0.00285142941786402
4019824,2013,M,60-69,106,122,19542,0.00542421451233241
4019824,2013,M,70-79,82,92,12541,0.00653855354437445
4019824,2013,M,80+,29,30,5499,0.00527368612474995
4019824,2014,F,0-9,6,7,24104,2.4892134085628e-4
4019824,2014,F,20-29,6,6,31636,1.8965735238336e-4
4019824,2014,F,30-39,7,7,30993,2.2585745168263e-4
4019824,2014,F,40-49,18,21,29359,6.1309990122279e-4
4019824,2014,F,50-59,33,37,30669,0.0010760050865695
4019824,2014,F,60-69,71,78,27621,0.00257050794685203
4019824,2014,F,70-79,73,83,22474,0.00324819791759366
4019824,2014,F,80+,45,47,16222,0.00277401060288497
4019824,2014,M,20-29,5,5,34434,1.4520532032293e-4
4019824,2014,M,30-39,14,19,33285,4.2060988433228e-4
4019824,2014,M,40-49,31,36,29304,0.00105787605787606
4019824,2014,M,50-59,76,83,27067,0.00280784719400007
4019824,2014,M,60-69,101,114,20256,0.00498617693522907
4019824,2014,M,70-79,106,118,12470,0.00850040096230954
4019824,2014,M,80+,18,21,5614,0.00320627003918774
4019824,2015,F,0-9,6,7,24152,2.4842663133487e-4
4019824,2015,F,20-29,13,14,30585,4.2504495667811e-4
4019824,2015,F,40-49,16,18,29457,5.4316461282547e-4
4019824,2015,F,50-59,31,32,30260,0.00102445472571051
4019824,2015,F,60-69,68,75,28514,0.00238479343480396
4019824,2015,F,70-79,84,98,22106,0.00379987333755541
4019824,2015,F,80+,53,58,16608,0.00319123314065511
4019824,2015,M,0-9,8,8,25450,3.1434184675835e-4
4019824,2015,M,20-29,6,6,33173,1.8086998462605e-4
4019824,2015,M,30-39,11,11,33668,3.2671973387192e-4
4019824,2015,M,40-49,36,37,29708,0.00121179480274673
4019824,2015,M,50-59,74,84,27033,0.00273739503569711
4019824,2015,M,60-69,112,123,21060,0.00531813865147198
4019824,2015,M,70-79,86,100,12207,0.00704513803555337
4019824,2015,M,80+,23,25,5810,0.00395869191049914
4019824,2016,F,0-9,8,8,24062,3.3247444102734e-4
4019824,2016,F,20-29,9,11,29457,3.0553009471432e-4
4019824,2016,F,30-39,12,13,31768,3.7773860488541e-4
4019824,2016,F,40-49,13,14,29744,4.3706293706293e-4
4019824,2016,F,50-59,32,43,29826,0.0010728894253336
4019824,2016,F,60-69,68,79,28841,0.00235775458548594
4019824,2016,F,70-79,83,100,22023,0.00376878717704218
4019824,2016,F,80+,51,58,17129,0.0029774067371125
4019824,2016,M,20-29,7,7,31733,2.2059055242176e-4
4019824,2016,M,30-39,10,10,34101,2.9324653235975e-4
4019824,2016,M,40-49,43,50,30136,0.00142686487921423
4019824,2016,M,50-59,88,108,26974,0.0032624008304293
4019824,2016,M,60-69,97,111,21508,0.00450994978612609
4019824,2016,M,70-79,70,76,12214,0.00573112821352546
4019824,2016,M,80+,22,25,6077,0.00362020733914761
4019824,2017,F,0-9,9,9,23716,3.7949063923089e-4
4019824,2017,F,30-39,10,11,32292,3.096742227177e-4
4019824,2017,F,40-49,10,10,29964,3.3373381391002e-4
4019824,2017,F,50-59,30,33,29495,0.00101712154602475
4019824,2017,F,60-69,80,97,29029,0.00275586482483034
4019824,2017,F,70-79,84,100,21919,0.00383229161914321
4019824,2017,F,80+,55,61,17811,0.00308797933861097
4019824,2017,M,20-29,5,6,30033,1.6648353477841e-4
4019824,2017,M,30-39,9,10,34756,2.5894809529289e-4
4019824,2017,M,40-49,39,50,30631,0.00127321994058307
4019824,2017,M,50-59,82,91,26857,0.00305320772982835
4019824,2017,M,60-69,100,113,21738,0.00460023921243905
4019824,2017,M,70-79,84,94,12492,0.00672430355427474
4019824,2017,M,80+,31,40,6347,0.00488419725854734
4019824,2018,F,0-9,5,7,23438,2.1332878231931e-4
4019824,2018,F,20-29,6,7,26526,2.2619316896629e-4
4019824,2018,F,30-39,5,5,32795,1.5246226558926e-4
4019824,2018,F,40-49,8,8,29968,2.6695141484249e-4
4019824,2018,F,50-59,22,36,29391,7.4852846109353e-4
4019824,2018,F,60-69,73,77,29035,0.00251420699156191
