concept_id,year,sex,age_group,patient_count,record_count,denominator,prevalence
140673,2004,F,0-9,16,55,9469,0.00168972436371317
140673,2004,F,10-19,109,397,25124,0.00433848113357746
140673,2004,F,20-29,238,888,27366,0.00869692318935906
140673,2004,F,30-39,473,1987,26849,0.017617043465306
140673,2004,F,40-49,607,2714,23351,0.0259946040854781
140673,2004,F,50-59,658,3239,16027,0.0410557184750733
140673,2004,F,60-69,396,2155,7877,0.0502729465532563
140673,2004,F,70-79,121,637,2345,0.0515991471215352
140673,2004,F,80+,10,67,402,0.0248756218905473
140673,2004,M,0-9,5,15,4764,0.0010495382031906
140673,2004,M,10-19,31,114,15824,0.00195904954499494
140673,2004,M,20-29,16,69,15790,0.00101329955668144
140673,2004,M,30-39,27,155,13776,0.00195993031358885
140673,2004,M,40-49,27,139,10957,0.00246417815095373
140673,2004,M,50-59,34,190,7300,0.00465753424657534
140673,2004,M,60-69,14,71,3716,0.00376749192680301
140673,2004,M,70-79,6,28,1150,0.00521739130434783
140673,2005,F,0-9,13,42,7824,0.00166155419222904
140673,2005,F,10-19,112,379,24017,0.00466336345088895
140673,2005,F,20-29,270,984,27448,0.00983678227921889
140673,2005,F,30-39,529,2205,27124,0.0195030231529273
140673,2005,F,40-49,664,3009,23699,0.0280180598337483
140673,2005,F,50-59,764,3539,17082,0.044725441985716
140673,2005,F,60-69,452,2186,8344,0.0541706615532119
140673,2005,F,70-79,163,777,2741,0.0594673476833273
140673,2005,F,80+,13,54,508,0.0255905511811024
140673,2005,M,10-19,23,83,15017,0.00153159752280748
140673,2005,M,20-29,14,57,16013,8.7428963966777e-4
140673,2005,M,30-39,29,158,14061,0.0020624422160586
140673,2005,M,40-49,30,139,11179,0.00268360318454245
140673,2005,M,50-59,41,249,7837,0.00523159372208753
140673,2005,M,60-69,25,115,3933,0.00635647088736334
140673,2005,M,70-79,7,29,1307,0.0053557765876052
140673,2006,F,0-9,11,30,6284,0.00175047740292807
140673,2006,F,10-19,127,435,22814,0.00556675725431752
140673,2006,F,20-29,322,1130,27500,0.0117090909090909
140673,2006,F,30-39,563,2416,27397,0.0205496952221046
140673,2006,F,40-49,781,3392,23945,0.0326164126122364
140673,2006,F,50-59,888,4181,18035,0.0492375935680621
140673,2006,F,60-69,579,2784,9045,0.0640132669983416
140673,2006,F,70-79,217,1061,3113,0.0697076774815291
140673,2006,F,80+,21,93,625,0.0336
140673,2006,M,10-19,18,76,14148,0.00127226463104326
140673,2006,M,20-29,22,74,16146,0.00136256657995788
140673,2006,M,30-39,28,133,14355,0.00195053988157436
140673,2006,M,40-49,47,246,11518,0.00408056954332349
140673,2006,M,50-59,55,282,8179,0.00672453845213351
140673,2006,M,60-69,27,118,4235,0.0063754427390791
140673,2006,M,70-79,15,86,1519,0.00987491770901909
140673,2007,F,0-9,13,41,4773,0.00272365388644458
140673,2007,F,10-19,113,422,21497,0.00525654742522212
140673,2007,F,20-29,388,1533,27565,0.0140758207872302
140673,2007,F,30-39,662,2878,27605,0.0239811628328201
140673,2007,F,40-49,879,4039,24284,0.0361966727063087
140673,2007,F,50-59,1031,5137,18845,0.0547094720084903
140673,2007,F,60-69,699,3722,9803,0.0713047026420484
140673,2007,F,70-79,278,1439,3586,0.0775237032905745
140673,2007,F,80+,35,174,753,0.0464807436918991
