concept_id,year,sex,age_group,patient_count,record_count,denominator,prevalence
766814,2004,F,20-29,15,58,27366,5.4812541109405e-4
766814,2004,F,30-39,15,75,26849,5.5868002532682e-4
766814,2004,F,40-49,6,14,23351,2.5694831056485e-4
766814,2004,M,20-29,5,30,15790,3.1665611146295e-4
766814,2005,F,20-29,20,63,27448,7.2865053920139e-4
766814,2005,F,30-39,19,85,27124,7.0048665388585e-4
766814,2005,F,40-49,14,41,23699,5.9074222541035e-4
766814,2005,M,20-29,10,39,16013,6.2449259976269e-4
766814,2005,M,30-39,7,28,14061,4.9783087973828e-4
766814,2005,M,40-49,5,20,11179,4.4726719742374e-4
766814,2006,F,20-29,23,94,27500,8.3636363636363e-4
766814,2006,F,30-39,30,111,27397,0.00109501040259882
766814,2006,F,40-49,21,84,23945,8.7700981415744e-4
766814,2006,F,50-59,12,37,18035,6.6537288605489e-4
766814,2006,M,20-29,13,56,16146,8.0515297906602e-4
766814,2006,M,30-39,14,69,14355,9.7526994078718e-4
766814,2006,M,40-49,6,36,11518,5.209237714881e-4
766814,2007,F,20-29,28,105,27565,0.00101578088155269
766814,2007,F,30-39,40,166,27605,0.00144901285998913
766814,2007,F,40-49,26,120,24284,0.00107066381156317
766814,2007,F,50-59,34,130,18845,0.00180419209339347
766814,2007,F,60-69,7,26,9803,7.1406712230949e-4
766814,2007,M,10-19,5,9,12954,3.8598116411919e-4
766814,2007,M,20-29,17,66,16615,0.00102317183268131
766814,2007,M,30-39,10,71,14654,6.8240753377917e-4
766814,2007,M,40-49,10,52,11696,8.5499316005472e-4
766814,2007,M,50-59,6,21,8525,7.0381231671554e-4
766814,2008,F,10-19,10,28,20032,4.9920127795527e-4
766814,2008,F,20-29,53,189,27820,0.00190510424155284
766814,2008,F,30-39,53,211,27592,0.00192084662220934
766814,2008,F,40-49,69,223,24702,0.00279329608938547
766814,2008,F,50-59,67,268,19537,0.00342939038746993
766814,2008,F,60-69,10,35,10574,9.4571590694155e-4
766814,2008,F,70-79,6,20,4117,0.00145737187272286
766814,2008,M,20-29,30,103,17112,0.0017531556802244
766814,2008,M,30-39,19,74,14818,0.00128222432177082
766814,2008,M,40-49,24,77,12030,0.00199501246882793
766814,2008,M,50-59,19,76,8850,0.00214689265536723
766814,2009,F,10-19,12,34,18471,6.4966704563911e-4
766814,2009,F,20-29,63,216,28039,0.00224687043047184
766814,2009,F,30-39,64,208,27555,0.00232262747232807
766814,2009,F,40-49,97,310,25116,0.00386207994903647
766814,2009,F,50-59,80,301,20081,0.00398386534535133
766814,2009,F,60-69,31,101,11580,0.00267702936096719
766814,2009,F,70-79,11,41,4654,0.00236355822948002
766814,2009,M,10-19,7,17,10416,6.7204301075268e-4
766814,2009,M,20-29,28,82,17477,0.0016021056245351
766814,2009,M,30-39,29,104,14960,0.00193850267379679
766814,2009,M,40-49,32,98,12308,0.00259993500162496
766814,2009,M,50-59,29,123,9173,0.00316145208764853
766814,2009,M,60-69,9,35,5307,0.00169587337478802
766814,2010,F,10-19,19,41,16927,0.00112246706445324
766814,2010,F,20-29,91,324,28109,0.00323739727489416
766814,2010,F,30-39,101,375,27362,0.00369125063957313
766814,2010,F,40-49,127,398,25643,0.00495261864836408
