concept_id,year,sex,age_group,patient_count,record_count,denominator,prevalence
4019824,2004,F,40-49,5,5,23351,2.1412359213738e-4
4019824,2004,F,50-59,6,7,16027,3.7436825357209e-4
4019824,2004,F,60-69,10,11,7877,0.00126951885235496
4019824,2004,M,40-49,10,10,10957,9.126585744273e-4
4019824,2004,M,50-59,6,6,7300,8.2191780821917e-4
4019824,2004,M,60-69,11,15,3716,0.00296017222820237
4019824,2005,F,30-39,5,6,27124,1.8433859312785e-4
4019824,2005,F,50-59,8,8,17082,4.6832923545252e-4
4019824,2005,F,60-69,9,11,8344,0.00107861936720997
4019824,2005,M,30-39,5,6,14061,3.5559348552734e-4
4019824,2005,M,40-49,11,13,11179,9.8398783433223e-4
4019824,2005,M,50-59,14,18,7837,0.00178639785632257
4019824,2005,M,60-69,10,10,3933,0.00254258835494533
4019824,2005,M,70-79,5,5,1307,0.00382555470543229
4019824,2006,F,20-29,6,9,27500,2.1818181818181e-4
4019824,2006,F,30-39,5,6,27397,1.8250173376647e-4
4019824,2006,F,40-49,10,13,23945,4.1762372102735e-4
4019824,2006,F,50-59,18,20,18035,9.9805932908234e-4
4019824,2006,F,60-69,24,25,9045,0.00265339966832504
4019824,2006,M,30-39,7,8,14355,4.8763497039359e-4
4019824,2006,M,40-49,6,8,11518,5.209237714881e-4
4019824,2006,M,50-59,33,39,8179,0.00403472307128011
4019824,2006,M,60-69,20,23,4235,0.00472255017709563
4019824,2006,M,70-79,6,7,1519,0.00394996708360764
4019824,2007,F,20-29,13,16,27565,4.7161255214946e-4
4019824,2007,F,30-39,6,6,27605,2.1735192899837e-4
4019824,2007,F,50-59,19,21,18845,0.00100822499336694
4019824,2007,F,60-69,18,21,9803,0.00183617260022442
4019824,2007,F,70-79,7,8,3586,0.00195203569436698
4019824,2007,M,20-29,6,8,16615,3.6111947035811e-4
4019824,2007,M,30-39,6,6,14654,4.094445202675e-4
4019824,2007,M,40-49,16,21,11696,0.00136798905608755
4019824,2007,M,50-59,23,25,8525,0.00269794721407625
4019824,2007,M,60-69,22,24,4581,0.00480244488103034
4019824,2007,M,70-79,9,11,1746,0.00515463917525773
4019824,2008,F,20-29,5,5,27820,1.7972681524083e-4
4019824,2008,F,30-39,7,7,27592,2.5369672368802e-4
