concept_id,icd10_code,icd10_name
140673,E03,Other hypothyroidism
140673,E03.8,Other specified hypothyroidism
140673,E03.9,"Hypothyroidism, unspecified"
201826,E11,Type 2 diabetes mellitus
201826,E11.0,Type 2 diabetes mellitus with hyperosmolarity
201826,E11.0,"Type 2 diabetes mellitus, with coma"
201826,E11.00,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
201826,E11.01,Type 2 diabetes mellitus with hyperosmolarity with coma
201826,E11.1,Type 2 diabetes mellitus with ketoacidosis
201826,E11.1,"Type 2 diabetes mellitus, with ketoacidosis"
201826,E11.10,Type 2 diabetes mellitus with ketoacidosis without coma
201826,E11.11,Type 2 diabetes mellitus with ketoacidosis with coma
201826,E11.2,Type 2 diabetes mellitus with kidney complications
201826,E11.2,"Type 2 diabetes mellitus, with renal complications"
201826,E11.21,Type 2 diabetes mellitus with diabetic nephropathy
201826,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease
201826,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication
201826,E11.3,Type 2 diabetes mellitus with ophthalmic complications
201826,E11.3,"Type 2 diabetes mellitus, with ophthalmic complications"
201826,E11.31,Type 2 diabetes mellitus with unspecified diabetic retinopathy
201826,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
201826,E11.319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
201826,E11.32,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy
201826,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
201826,E11.3291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
201826,E11.3292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
201826,E11.3293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
201826,E11.3299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
201826,E11.33,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy
201826,E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
201826,E11.3391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
201826,E11.3392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
201826,E11.3393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
201826,E11.3399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
201826,E11.35,Type 2 diabetes mellitus with proliferative diabetic retinopathy
201826,E11.355,Type 2 diabetes mellitus with stable proliferative diabetic retinopathy
201826,E11.3551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye"
201826,E11.3552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye"
201826,E11.3553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral"
201826,E11.3559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye"
201826,E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
201826,E11.3591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye"
201826,E11.3592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye"
201826,E11.3593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral"
201826,E11.3599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye"
201826,E11.36,Type 2 diabetes mellitus with diabetic cataract
201826,E11.37,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment"
201826,E11.37X1,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye"
201826,E11.37X2,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye"
201826,E11.37X3,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral"
201826,E11.37X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye"
201826,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication
201826,E11.4,Type 2 diabetes mellitus with neurological complications
201826,E11.4,"Type 2 diabetes mellitus, with neurological complications"
201826,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
201826,E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy
201826,E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy
201826,E11.43,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
201826,E11.44,Type 2 diabetes mellitus with diabetic amyotrophy
201826,E11.49,Type 2 diabetes mellitus with other diabetic neurological complication
201826,E11.5,Type 2 diabetes mellitus with circulatory complications
201826,E11.5,"Type 2 diabetes mellitus, with peripheral circulatory complications"
201826,E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
201826,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
201826,E11.59,Type 2 diabetes mellitus with other circulatory complications
201826,E11.6,Type 2 diabetes mellitus with other specified complications
201826,E11.6,"Type 2 diabetes mellitus, with other specified complications"
201826,E11.61,Type 2 diabetes mellitus with diabetic arthropathy
201826,E11.610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy
